file,peak,plato,Ra,Rm+Ra,Rm,tau,Cm,Ih,Cell,Stimulation_Type,VC,Rm_scaled,Cm_scaled
2020_02_13_0016,-211.3036957,-10.65063477,47.32524894,938.9111748,891.5859258,1.02205503,1.146333741,-35.15624619,2,control,-70,0.491760771,1
2020_02_13_0016,-213.2517395,-12.12056255,46.89293519,825.0442136,778.1512784,0.617192626,0.793152493,-23.44258499,2,control,-70,0.387838243,0.626082114
2020_02_13_0016,-213.0635376,-17.27803421,46.93435636,578.7695451,531.8351887,0.563593626,1.05971481,-21.55558014,2,control,-70,0.162177113,0.908295336
2020_02_13_0016,-210.0880737,-13.88549614,47.59908462,720.1759231,672.5768385,0.572912633,0.85181737,-19.15995026,2,control,-70,0.291116801,0.688191433
2020_02_13_0016,-210.4339447,-12.83263969,47.52085037,779.2628982,731.7420479,0.597047269,0.815925873,-25.16174126,2,control,-70,0.345320682,0.650192607
2020_02_13_0016,-210.6017914,-15.72163677,47.48297692,636.0660881,588.5831112,0.394148648,0.669656741,-23.40698051,2,control,-70,0.21416641,0.495335449
2020_02_13_0020,-240.9728699,-34.48736954,41.49844754,289.9612274,248.4627798,0.708829701,2.17686125,-109.6130295,3,monochromator,-70,0.556599743,0.09312769
2020_02_13_0020,-236.3240356,-34.11816788,42.31478179,293.098974,250.7841922,0.692567647,2.184311621,-116.092926,3,monochromator,-70,0.568143613,0.094210124
2020_02_13_0020,-226.6723328,-27.19869423,44.11654426,367.664709,323.5481648,0.64896071,1.535864833,-116.2231369,3,monochromator,-70,0.929982754,0
2020_02_13_0020,-230.5379028,-34.12678146,43.37681517,293.0249959,249.6481808,0.68888092,2.304044898,-108.5733948,3,monochromator,-70,0.56249448,0.111605671
2020_02_13_0020,-224.5645905,-27.25589943,44.53061803,366.8930474,322.3624293,0.688296735,1.792725982,-107.9549103,3,monochromator,-70,0.924086354,0.037318283
2020_02_13_0020,-218.5628052,-30.8294487,45.75343912,324.3651905,278.6117514,0.750219762,2.00961805,-105.533844,3,monochromator,-70,0.70652391,0.068829625
2020_02_13_0020,-219.0999146,-34.59065628,45.6412775,289.0954112,243.4541337,0.732462168,2.288725145,-134.9039612,3,monochromator,-70,0.531692853,0.109379928
2020_02_13_0020,-213.950592,-35.00629425,46.73976316,285.6629133,238.9231502,0.740757465,2.192143214,-149.3306274,3,monochromator,-70,0.509161275,0.095347943
2020_02_13_0020,-216.1641235,-36.80335999,46.26114564,271.7143218,225.4531762,0.788619518,2.760721614,-138.2059631,3,monochromator,-70,0.442178073,0.177954322
2020_02_13_0021,-210.9525146,-34.62554932,47.40403316,288.8040825,241.4000493,0.910082579,3.626349798,-140.6099548,3,control,-70,0.521478346,0.303717823
2020_02_13_0021,-212.3121796,-31.99998665,47.10045378,312.5001304,265.3996766,0.935813546,3.070909603,-140.2268524,3,control,-70,0.640823184,0.223020239
2020_02_13_0021,-209.3393097,-33.59397125,47.76933685,297.6724581,249.9031213,0.876292348,3.261089189,-136.1196442,3,control,-70,0.563762242,0.250650636
2020_02_13_0021,-210.4529572,-33.02018356,47.51655731,302.845076,255.3285187,0.898265302,3.436193274,-133.541153,3,control,-70,0.590741543,0.276090777
2020_02_13_0021,-212.6896667,-33.20323563,47.01685866,301.1754671,254.1586085,0.906916618,3.443116944,-138.6286621,3,control,-70,0.584923839,0.277096688
