file,peak,plato,Ra,Rm+Ra,Rm,tau,Cm,Ih,Cell,Stimulation_Type,VC,Rm_scaled,Cm_scaled
2020_02_13_0013,-244.0287018,-9.749638557,40.97878621,1025.679049,984.7002624,0.4300524,0.43673432,-13.90584183,2,control,-70,0.577066958,0.248737251
2020_02_13_0013,-243.8506775,-10.83591938,41.00870296,922.8566261,881.8479231,0.403551549,0.457620343,-14.45007229,2,control,-70,0.482839353,0.270849573
2020_02_13_0013,-242.1772919,-10.33964539,41.29206303,967.1511572,925.8590942,0.449073941,0.485034865,-14.41446877,2,control,-70,0.523159946,0.299873708
2020_02_13_0013,-240.0156403,-10.18342495,41.66395152,981.987892,940.3239405,0.421730071,0.448494453,-19.87202835,2,control,-70,0.536411835,0.261187867
2020_02_13_0014,-239.8035278,-9.393727303,41.70080436,1064.540164,1022.839359,0.586472273,0.573376716,-15.10752678,2,control,-70,0.612007882,0.393402451
2020_02_13_0014,-239.8358154,-9.15110302,41.69519045,1092.764444,1051.069253,0.591339529,0.56260758,-15.97794151,2,control,-70,0.637870544,0.382001017
2020_02_13_0014,-238.1160889,-10.96358204,41.99632225,912.1106555,870.1143332,0.576621771,0.662696555,-15.93548203,2,control,-70,0.47208969,0.487966603
2020_02_13_0014,-236.7302246,-10.73081398,42.24217679,931.8957554,889.6535786,0.507910073,0.570907694,-14.83419514,2,control,-70,0.489990462,0.390788463
2020_02_13_0014,-234.3031769,-9.892243385,42.67974567,1010.893041,968.2132955,0.587285101,0.60656583,-14.02481651,2,control,-70,0.561962514,0.428540226
2020_02_13_0014,-233.1865845,-9.834241867,42.88411369,1016.855202,973.9710883,0.532597721,0.54683114,-19.4887886,2,control,-70,0.567237484,0.365298281
2020_02_13_0014,-231.5135193,-6.713487625,43.1940218,1489.538755,1446.344733,0.568318248,0.392934156,-16.38395691,2,control,-70,1,0.20236541
2020_02_13_0014,-233.8005371,-9.084759712,42.7715014,1100.744578,1057.973077,0.543801725,0.514003368,-15.18979168,2,control,-70,0.644195444,0.330543064
2020_02_13_0014,-235.5059357,-9.678051949,42.46177478,1033.265791,990.804016,0.559335351,0.56452673,-14.73600864,2,control,-70,0.582658878,0.384032848
2020_02_13_0014,-235.0822754,-8.693529129,42.53829849,1150.280841,1107.742543,0.547811806,0.494529898,-20.78644943,2,control,-70,0.689791467,0.309926231
2020_02_13_0014,-231.2550201,-11.69714069,43.24230451,854.909782,811.6674775,0.557335556,0.686655029,-19.45694351,2,control,-70,0.418543924,0.513331772
2020_02_13_0014,-230.0881653,-10.70844746,43.46160085,933.8421877,890.3805869,0.541167319,0.607793259,-19.57370758,2,control,-70,0.490656506,0.429839722
2020_02_13_0015,-229.5235596,-10.48293304,43.56851218,953.9314959,910.3629837,0.59803611,0.656920504,-18.64536667,2,control,-70,0.508963269,0.481851418
2020_02_13_0015,-229.1329346,-11.02818108,43.64278762,906.767846,863.1250584,0.571940005,0.662638628,-18.30356979,2,monochromator,-70,0.465686504,0.487905275
2020_02_13_0015,-227.947113,-10.3597002,43.86982518,965.2788984,921.4090733,0.571995556,0.620783508,-19.36732483,2,monochromator,-70,0.519083084,0.443592679
2020_02_13_0015,-228.819046,-11.3362627,43.70265576,882.124935,838.4222792,0.543957949,0.648787565,-19.59402657,2,monochromator,-70,0.443055189,0.473240962
2020_02_13_0015,-228.9759979,-12.69647408,43.67269972,787.6202433,743.9475436,0.618403494,0.8312461,-19.92536163,2,monochromator,-70,0.356502679,0.666412344
2020_02_13_0015,-227.6018219,-10.93866158,43.9363794,914.1886264,870.252247,0.597344577,0.686403947,-21.29952431,2,monochromator,-70,0.472216039,0.513065948
2020_02_13_0015,-229.8095551,-11.37927818,43.51429164,878.7903626,835.2760709,0.587191999,0.702991525,-17.62695122,2,monochromator,-70,0.440172807,0.530627447
2020_02_13_0015,-229.5410004,-11.05259323,43.56520179,904.7650439,861.1998421,0.596126139,0.69220419,-21.31347466,2,monochromator,-70,0.463922728,0.519206746
2020_02_13_0015,-226.266037,-14.34035301,44.19576236,697.3329033,653.1371409,0.60318923,0.923526151,-26.66364288,2,monochromator,-70,0.273307229,0.764110514
2020_02_13_0015,-227.0402985,-11.20837975,44.04504428,892.1896141,848.1445698,0.599170029,0.706447993,-19.05343056,2,monochromator,-70,0.451962212,0.534286857
2020_02_13_0015,-226.8484802,-12.43489552,44.08228783,804.1885022,760.1062144,0.575698674,0.757392405,-18.63490295,2,monochromator,-70,0.371306357,0.588222413
